==PROF== Connected to process 2817563 
Algorithm: CUDNN_CONVOLUTION_FWD_ALGO_GEMM
==PROF== Disconnected from process 2817563
"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","2817563","cudnn_ref","127.0.0.1","void cudnn::cnn::im2col4d_kernel<float, long>(cudnn::cnn::im2col4d_params, cudnnConvolutionStruct, cudnnTensorStruct, float const*, float*)","2022-Jul-14 09:42:43","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","91,712"
"0","2817563","cudnn_ref","127.0.0.1","void cudnn::cnn::im2col4d_kernel<float, long>(cudnn::cnn::im2col4d_params, cudnnConvolutionStruct, cudnnTensorStruct, float const*, float*)","2022-Jul-14 09:42:43","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","91,712"
"0","2817563","cudnn_ref","127.0.0.1","void cudnn::cnn::im2col4d_kernel<float, long>(cudnn::cnn::im2col4d_params, cudnnConvolutionStruct, cudnnTensorStruct, float const*, float*)","2022-Jul-14 09:42:43","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","91,712"
"0","2817563","cudnn_ref","127.0.0.1","void cudnn::cnn::im2col4d_kernel<float, long>(cudnn::cnn::im2col4d_params, cudnnConvolutionStruct, cudnnTensorStruct, float const*, float*)","2022-Jul-14 09:42:43","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","91,712"
"1","2817563","cudnn_ref","127.0.0.1","void explicit_convolve_sgemm<float, int, 128, 6, 7, 3, 3, 5, 0, false>(int, int, int, float const*, int, float const*, int, float*, kernel_conv_params, unsigned long long, int, unsigned long long, int, float, float, int, float const*, float const*)","2022-Jul-14 09:42:43","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","347,936"
"1","2817563","cudnn_ref","127.0.0.1","void explicit_convolve_sgemm<float, int, 128, 6, 7, 3, 3, 5, 0, false>(int, int, int, float const*, int, float const*, int, float*, kernel_conv_params, unsigned long long, int, unsigned long long, int, float, float, int, float const*, float const*)","2022-Jul-14 09:42:43","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","347,936"
"1","2817563","cudnn_ref","127.0.0.1","void explicit_convolve_sgemm<float, int, 128, 6, 7, 3, 3, 5, 0, false>(int, int, int, float const*, int, float const*, int, float*, kernel_conv_params, unsigned long long, int, unsigned long long, int, float, float, int, float const*, float const*)","2022-Jul-14 09:42:43","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","347,936"
"1","2817563","cudnn_ref","127.0.0.1","void explicit_convolve_sgemm<float, int, 128, 6, 7, 3, 3, 5, 0, false>(int, int, int, float const*, int, float const*, int, float*, kernel_conv_params, unsigned long long, int, unsigned long long, int, float, float, int, float const*, float const*)","2022-Jul-14 09:42:43","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","347,936"
"2","2817563","cudnn_ref","127.0.0.1","void cudnn::ops::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)0>(cudnn::ops::nchw2nhwc_params_t<float>, float const*, float*)","2022-Jul-14 09:42:43","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","141,024"
"2","2817563","cudnn_ref","127.0.0.1","void cudnn::ops::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)0>(cudnn::ops::nchw2nhwc_params_t<float>, float const*, float*)","2022-Jul-14 09:42:43","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","141,024"
"2","2817563","cudnn_ref","127.0.0.1","void cudnn::ops::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)0>(cudnn::ops::nchw2nhwc_params_t<float>, float const*, float*)","2022-Jul-14 09:42:43","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","141,024"
"2","2817563","cudnn_ref","127.0.0.1","void cudnn::ops::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)0>(cudnn::ops::nchw2nhwc_params_t<float>, float const*, float*)","2022-Jul-14 09:42:43","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","141,024"
